seme;posto;giocatore;pv;strategia;sopra;quota_max;costruiti;lampo;cultura;rendita;monumenti;verticalita;continuita;scavo;scheletri;eredita;effetti_finali;piano;centro_attivato;oro_centro
700069;1;2;116;obiettivi;5;5;9;16;2;24;4;37;14;9;4;5;1;0;0;5
700069;2;1;93;bilanciata;5;3;8;7;3;44;0;16;7;4;8;4;0;0;5;5
700069;3;0;54;verticale;6;4;9;12;0;6;0;21;5;7;3;0;0;0;0;0
700070;1;0;83;bilanciata;2;3;9;15;3;26;0;9;14;2;0;5;9;0;0;3
700070;2;1;72;obiettivi;2;2;8;8;1;28;4;10;6;0;4;5;6;0;2;3
700070;3;2;59;rendita;3;3;7;3;1;33;0;10;9;2;0;0;1;0;3;4
700071;1;1;114;rendita;7;4;12;13;3;38;4;33;9;8;0;4;2;0;5;11
700071;2;0;107;obiettivi;8;4;12;10;0;31;4;33;13;4;4;4;4;0;2;6
700071;3;2;65;lampo;3;2;11;20;1;17;0;11;6;7;0;0;3;0;4;8
700072;1;0;116;rendita;6;4;12;10;1;35;0;33;14;17;0;4;2;0;1;1
700072;2;1;98;lampo;5;4;13;26;0;17;4;28;14;8;0;0;1;0;2;5
700072;3;2;82;scavo;5;4;11;8;0;20;4;27;11;7;0;5;0;0;3;6
700073;1;0;131;lampo;7;5;14;28;1;34;0;39;13;9;0;4;3;0;1;4
700073;2;2;85;verticale;9;4;11;9;0;12;4;36;6;9;5;4;0;0;0;2
700073;3;1;69;scavo;3;3;10;9;1;17;5;13;10;6;0;4;4;0;5;6
700074;1;1;78;verticale;5;5;7;5;2;21;5;25;2;7;6;5;0;0;0;0
700074;2;2;61;bilanciata;5;4;9;9;1;8;5;26;4;2;0;4;2;0;0;0
700074;3;0;44;scavo;5;5;8;5;4;5;0;20;4;6;0;0;0;0;0;0
700075;1;1;92;bilanciata;4;4;8;5;1;38;5;24;7;5;5;0;2;0;2;3
700075;2;0;82;verticale;8;4;11;12;1;5;0;36;12;6;5;4;1;0;0;1
700075;3;2;57;obiettivi;2;2;8;13;0;11;4;8;9;8;0;0;4;0;1;3
700076;1;2;98;rendita;5;3;13;12;1;24;4;21;13;13;0;5;5;0;0;4
700076;2;0;81;bilanciata;2;3;7;10;1;32;0;15;9;8;0;0;6;0;1;3
700076;3;1;44;obiettivi;3;2;8;10;0;14;4;9;4;0;0;0;3;0;3;1
700077;1;0;105;obiettivi;5;4;10;8;4;35;8;26;17;7;0;0;0;0;3;4
700077;2;1;87;rendita;4;4;8;8;0;17;0;34;6;7;8;4;3;0;2;5
700077;3;2;82;lampo;7;4;13;18;1;14;0;27;11;7;3;0;1;0;0;1
700078;1;1;98;lampo;5;3;11;21;0;34;4;12;2;20;0;5;0;0;0;7
700078;2;0;94;rendita;3;4;8;3;0;41;0;27;9;0;0;4;10;0;4;3
700078;3;2;51;scavo;4;4;10;6;1;6;4;22;9;0;3;0;0;0;3;4
700079;1;0;89;lampo;5;4;10;16;0;25;0;34;4;0;5;5;0;0;0;1
700079;2;2;57;verticale;5;3;10;9;1;12;0;20;9;6;0;0;0;0;0;1
700079;3;1;54;scavo;3;2;9;8;0;20;4;10;4;8;0;0;0;0;1;0
700080;1;2;107;bilanciata;3;5;8;10;6;34;0;21;6;8;2;4;16;0;5;11
700080;2;0;95;scavo;5;4;12;12;0;35;4;15;9;12;0;0;8;0;4;7
700080;3;1;74;verticale;9;5;10;13;2;6;0;32;11;5;5;0;0;0;2;4
700081;1;1;94;bilanciata;3;3;8;11;0;30;5;20;7;10;2;0;9;0;0;5
700081;2;2;88;obiettivi;5;5;10;11;1;22;4;26;12;0;2;5;5;0;4;5
700081;3;0;69;verticale;7;5;10;6;3;13;0;28;7;3;5;4;0;0;1;2
700082;1;1;103;obiettivi;3;3;8;10;1;44;9;25;6;3;0;5;0;0;6;11
700082;2;2;77;rendita;4;4;9;3;2;34;0;25;6;2;5;0;0;0;4;10
700082;3;0;66;bilanciata;5;4;9;9;0;20;0;18;7;8;3;0;1;0;1;2
700083;1;1;98;rendita;3;4;8;7;3;35;0;33;6;9;0;5;0;0;1;6
700083;2;2;80;lampo;8;3;12;22;0;9;0;22;12;15;0;0;0;0;1;2
700083;3;0;78;obiettivi;3;3;9;7;7;25;4;17;12;2;0;4;0;0;5;7
700084;1;1;124;lampo;4;4;13;23;1;30;4;33;13;12;0;5;3;0;2;3
700084;2;0;97;rendita;6;4;9;6;0;12;0;43;10;8;8;5;5;0;0;3
700084;3;2;87;scavo;4;4;11;10;1;26;4;24;12;3;0;4;3;0;1;2
700085;1;0;110;lampo;6;4;13;22;1;32;4;28;10;7;0;5;1;0;3;7
700085;2;1;109;scavo;6;3;10;16;2;38;4;20;7;10;0;0;12;0;3;7
700085;3;2;70;verticale;6;4;8;6;1;12;0;31;4;3;8;5;0;0;1;0
700086;1;2;95;bilanciata;5;5;7;8;2;27;0;44;4;2;8;0;0;0;0;1
700086;2;1;92;verticale;8;5;12;12;0;24;5;26;15;4;4;0;2;0;3;5
700086;3;0;66;scavo;4;3;11;11;1;18;0;10;11;5;0;4;6;0;2;5
700087;1;2;134;obiettivi;6;4;11;18;2;26;8;46;9;5;5;4;11;0;0;4
700087;2;0;85;verticale;7;5;9;9;1;19;0;33;10;6;4;0;3;0;4;5
700087;3;1;69;bilanciata;7;4;10;10;0;17;0;20;4;13;5;0;0;0;1;5
700088;1;2;114;rendita;3;4;9;9;1;46;0;33;9;5;0;4;7;0;2;6
700088;2;0;93;bilanciata;7;4;9;15;0;10;4;36;5;9;9;4;1;0;1;3
700088;3;1;62;obiettivi;6;3;11;8;2;9;4;16;6;11;3;0;3;0;3;3
700089;1;0;97;obiettivi;6;4;10;15;2;11;5;40;7;10;2;5;0;0;2;5
